run      name                                   ped   pedrms        led   ledrms  rms/led   flags
01107040 EN023_r02c02_Dep00Ch00_F20/0/00/3    93.55     0.62    2988.00    91.19   0.0138   0   Good 
01107040 EN024_r02c03_Dep00Ch01_F20/0/01/2    41.24     0.68    2787.60   102.50   0.0188   0   Good 
01107040 EN025_r02c04_Dep00Ch02_F20/0/01/3    66.66     0.66    3378.60   105.88   0.0165   0   Good 
01107040 EN026_r02c05_Dep00Ch03_F20/0/02/2    60.93     0.67    3358.80   118.33   0.0203   0   Good 
01107040 EN045_r03c02_Dep00Ch04_F00/0/00/1  3619.45     0.41      30.00     0.00  -1.6667   5   Ped Led 
01107040 EN046_r03c03_Dep00Ch05_F00/0/01/0    57.25     0.71    3225.00   106.78   0.0176   0   Good 
01107040 EN047_r03c04_Dep00Ch06_F00/0/01/1    33.22     0.68    3289.20   100.36   0.0153   0   Good 
01107040 EN048_r03c05_Dep00Ch07_F00/0/02/0    95.68     0.63    3438.00   107.33   0.0167   0   Good 
01107040 EN067_r04c02_Dep00Ch08_F00/0/00/3    66.55     0.67    3001.20    93.52   0.0145   0   Good 
01107040 EN068_r04c03_Dep00Ch09_F00/0/01/2    86.43     0.64    3335.40   113.56   0.0191   0   Good 
01107040 EN069_r04c04_Dep00Ch10_F00/0/01/3    66.64     0.65    4002.60   113.62   0.0159   0   Good 
01107040 EN070_r04c05_Dep00Ch11_F00/0/02/2    51.68     0.64    3586.20   123.80   0.0206   0   Good 
01107040 EN089_r05c02_Dep00Ch12_F01/0/00/1    58.77     0.63    3757.80   116.86   0.0178   0   Good 
01107040 EN090_r05c03_Dep00Ch13_F01/0/01/0    50.30     0.64    2523.00    87.93   0.0150   0   Good 
01107040 EN091_r05c04_Dep00Ch14_F01/0/01/1    62.49     0.68    2755.80    92.66   0.0155   0   Good 
01107040 EN092_r05c05_Dep00Ch15_F01/0/02/0    60.32     0.68    3297.60    95.41   0.0138   0   Good 
01107040 EN111_r06c02_Dep00Ch16_F01/0/00/3    92.34     0.70    3501.00   122.78   0.0208   0   Good 
01107040 EN112_r06c03_Dep00Ch17_F01/0/01/2    37.52     0.69    2547.00    84.16   0.0134   0   Good 
01107040 EN113_r06c04_Dep00Ch18_F01/0/01/3    78.05     0.68    2553.00    85.01   0.0137   0   Good 
01107040 EN114_r06c05_Dep00Ch19_F01/0/02/2    48.62     0.71    3435.00   107.46   0.0167   0   Good 
01107040 EN133_r07c02_Dep00Ch20_F22/0/00/1    49.16     0.66    2685.00    94.25   0.0165   0   Good 
01107040 EN134_r07c03_Dep00Ch21_F22/0/01/0    66.65     0.66    2170.20    83.16   0.0153   0   Good 
01107040 EN135_r07c04_Dep00Ch22_F22/0/01/1    52.07     0.68    2610.60    93.14   0.0165   0   Good 
01107040 EN136_r07c05_Dep00Ch23_F22/0/02/0    49.15     0.66    2890.80    88.95   0.0135   0   Good 
01107040 EN155_r08c02_Dep00Ch24_F22/0/00/3    71.39     0.66    2269.80    82.29   0.0142   0   Good 
01107040 EN156_r08c03_Dep00Ch25_F22/0/01/2    54.16     0.65    2050.20    75.45   0.0124   0   Good 
01107040 EN157_r08c04_Dep00Ch26_F22/0/01/3    79.32     0.66    2174.40    88.03   0.0175   0   Good 
01107040 EN158_r08c05_Dep00Ch27_F22/0/02/2    51.72     0.70    3021.60   107.67   0.0191   0   Good 
01107040 EN177_r09c02_Dep00Ch28_F05/0/00/1    78.20     0.65    2011.20    81.38   0.0156   0   Good 
01107040 EN178_r09c03_Dep00Ch29_F05/0/01/0    65.49     0.63    2173.80    76.30   0.0121   0   Good 
01107040 EN179_r09c04_Dep00Ch30_F05/0/01/1    72.38     0.61    2598.00    88.59   0.0149   0   Good 
01107040 EN180_r09c05_Dep00Ch31_F05/0/02/0    60.36     0.67    2944.20    97.58   0.0162   0   Good 
01107040 EN027_r02c06_Dep01Ch00_F20/0/02/3    75.88     0.61    2718.60    87.65   0.0138   0   Good 
01107040 EN028_r02c07_Dep01Ch01_F20/0/03/2    62.76     0.64    2235.60    77.82   0.0124   0   Good 
01107040 EN029_r02c08_Dep01Ch02_F20/0/03/3    83.68     0.62    2597.40    94.60   0.0172   0   Good 
01107040 EN030_r02c09_Dep01Ch03_F20/0/04/2    44.88     0.61    3027.00    91.93   0.0139   0   Good 
01107040 EN049_r03c06_Dep01Ch04_F00/0/02/1    45.84     0.59    3551.40   119.00   0.0194   0   Good 
01107040 EN050_r03c07_Dep01Ch05_F00/0/03/0    86.04     0.60    2338.20    68.65   0.0080   0   Good 
01107040 EN051_r03c08_Dep01Ch06_F00/0/03/1    63.48     0.66    2420.40    87.25   0.0154   0   Good 
01107040 EN052_r03c09_Dep01Ch07_F00/0/04/0    71.71     0.61    2908.80    91.77   0.0144   0   Good 
01107040 EN071_r04c06_Dep01Ch08_F00/0/02/3   110.90     0.58    3020.40    86.00   0.0119   0   Good 
01107040 EN072_r04c07_Dep01Ch09_F00/0/03/2    87.15     0.60    2288.40    82.93   0.0144   0   Good 
01107040 EN073_r04c08_Dep01Ch10_F00/0/03/3    66.11     0.66    2465.40    74.99   0.0101   0   Good 
01107040 EN074_r04c09_Dep01Ch11_F00/0/04/2    65.38     0.64    2559.60    95.89   0.0179   0   Good 
01107040 EN093_r05c06_Dep01Ch12_F01/0/02/1    53.67     0.64    3121.80    99.84   0.0160   0   Good 
01107040 EN094_r05c07_Dep01Ch13_F01/0/03/0    71.22     0.61    2098.20    74.19   0.0115   0   Good 
01107040 EN095_r05c08_Dep01Ch14_F01/0/03/1    55.90     0.67    2170.20    75.45   0.0117   0   Good 
01107040 EN096_r05c09_Dep01Ch15_F01/0/04/0    65.10     0.68    2713.20    89.03   0.0144   0   Good 
01107040 EN115_r06c06_Dep01Ch16_F01/0/02/3    74.70     0.63    3079.80    98.24   0.0157   0   Good 
01107040 EN116_r06c07_Dep01Ch17_F01/0/03/2  1623.62     0.37       0.00     0.00   0.0000   5   Ped Led 
01107040 EN117_r06c08_Dep01Ch18_F01/0/03/3    66.74     0.60    2757.00    94.63   0.0162   0   Good 
01107040 EN118_r06c09_Dep01Ch19_F01/0/04/2    31.85     0.63    2863.20    98.80   0.0170   0   Good 
01107040 EN137_r07c06_Dep01Ch20_F22/0/02/1    62.24     0.64    2890.80    94.06   0.0152   0   Good 
01107040 EN138_r07c07_Dep01Ch21_F22/0/03/0    66.67     0.68    3240.60   105.13   0.0170   0   Good 
01107040 EN139_r07c08_Dep01Ch22_F22/0/03/1    45.67     0.67    4102.20   118.99   0.0168   0   Good 
01107040 EN140_r07c09_Dep01Ch23_F22/0/04/0   111.13     0.61    3138.00   103.58   0.0171   0   Good 
01107040 EN159_r08c06_Dep01Ch24_F22/0/02/3    94.18     0.65    3429.00   102.31   0.0153   0   Good 
01107040 EN160_r08c07_Dep01Ch25_F22/0/03/2    95.41     0.64    3288.60    99.21   0.0150   0   Good 
01107040 EN161_r08c08_Dep01Ch26_F22/0/03/3    97.36     0.66    3901.20   128.26   0.0201   0   Good 
01107040 EN162_r08c09_Dep01Ch27_F22/0/04/2    39.42     0.77    2772.00    85.49   0.0128   0   Good 
01107040 EN181_r09c06_Dep01Ch28_F05/0/02/1    60.38     0.62    3357.00   112.37   0.0186   0   Good 
01107040 EN182_r09c07_Dep01Ch29_F05/0/03/0    80.06     0.66    3874.80   107.89   0.0149   0   Good 
01107040 EN183_r09c08_Dep01Ch30_F05/0/03/1    68.77     0.66    3729.60   122.73   0.0195   0   Good 
01107040 EN184_r09c09_Dep01Ch31_F05/0/04/0    29.37     0.63    2928.60    96.63   0.0159   0   Good 
01107040 EN031_r02c10_Dep02Ch00_F20/0/04/3    82.07     0.63    2820.60   100.58   0.0179   0   Good 
01107040 EN032_r02c11_Dep02Ch01_F20/0/05/2  3040.50     0.00       0.00     0.00   0.0000   7   Ped Prms Led 
01107040 EN033_r02c12_Dep02Ch02_F20/0/05/3    95.48     0.58    1852.20    67.70   0.0096   0   Good 
01107040 EN034_r02c13_Dep02Ch03_F20/0/06/2    92.75     0.67    1802.40    75.62   0.0142   0   Good 
01107040 EN053_r03c10_Dep02Ch04_F00/0/04/1    65.69     0.61    2497.80    91.65   0.0167   0   Good 
01107040 EN054_r03c11_Dep02Ch05_F00/0/05/0    57.24     0.66    2133.00    81.99   0.0150   0   Good 
01107040 EN055_r03c12_Dep02Ch06_F00/0/05/1    66.09     0.65    1939.80    76.39   0.0136   0   Good 
01107040 EN056_r03c13_Dep02Ch07_F00/0/06/0    83.36     0.62    2743.20    91.22   0.0150   0   Good 
01107040 EN075_r04c10_Dep02Ch08_F00/0/04/3    74.01     0.65    2758.20   105.11   0.0200   0   Good 
01107040 EN076_r04c11_Dep02Ch09_F00/0/05/2    40.72     0.58    2010.60    75.65   0.0128   0   Good 
