run      name                                   ped   pedrms        led   ledrms  rms/led   flags
01107041 EN023_r02c02_Dep00Ch00_F20/0/00/3    93.19     0.65    4095.00   132.92   0.0202   0   Good 
01107041 EN024_r02c03_Dep00Ch01_F20/0/01/2    42.74     0.65    3885.00   126.82   0.0198   0   Good 
01107041 EN025_r02c04_Dep00Ch02_F20/0/01/3    66.25     0.65    4664.40   123.87   0.0158   0   Good 
01107041 EN026_r02c05_Dep00Ch03_F20/0/02/2    61.21     0.69    4672.20   149.07   0.0212   0   Good 
01107041 EN045_r03c02_Dep00Ch04_F00/0/00/1  3619.50     0.38      30.00     0.00  -1.6667   5   Ped Led 
01107041 EN046_r03c03_Dep00Ch05_F00/0/01/0    57.16     0.67    4464.60   146.75   0.0217   0   Good 
01107041 EN047_r03c04_Dep00Ch06_F00/0/01/1    33.82     0.67    4575.60   138.16   0.0193   0   Good 
01107041 EN048_r03c05_Dep00Ch07_F00/0/02/0    95.51     0.66    4776.60   139.92   0.0188   0   Good 
01107041 EN067_r04c02_Dep00Ch08_F00/0/00/3    66.89     0.66    4169.40   129.10   0.0190   0   Good 
01107041 EN068_r04c03_Dep00Ch09_F00/0/01/2    85.84     0.62    4652.40   164.08   0.0245   0   Good 
01107041 EN069_r04c04_Dep00Ch10_F00/0/01/3    66.28     0.68    5548.20   170.01   0.0216   0   Good 
01107041 EN070_r04c05_Dep00Ch11_F00/0/02/2    52.07     0.70    5021.40   150.53   0.0200   0   Good 
01107041 EN089_r05c02_Dep00Ch12_F01/0/00/1    58.66     0.58    5089.80   158.30   0.0213   0   Good 
01107041 EN090_r05c03_Dep00Ch13_F01/0/01/0    51.12     0.72    3526.80    99.35   0.0140   0   Good 
01107041 EN091_r05c04_Dep00Ch14_F01/0/01/1    62.94     0.69    3883.20   116.83   0.0172   0   Good 
01107041 EN092_r05c05_Dep00Ch15_F01/0/02/0    60.06     0.66    4588.80   140.71   0.0198   0   Good 
