run      name                                   ped   pedrms        led   ledrms  rms/led   flags
01107042 EN023_r02c02_Dep00Ch00_F20/0/00/3    93.21     0.65    2062.80    67.50   0.0085   0   Good 
01107042 EN024_r02c03_Dep00Ch01_F20/0/01/2    42.35     0.64    1905.00    70.68   0.0109   0   Good 
01107042 EN025_r02c04_Dep00Ch02_F20/0/01/3    66.22     0.61    2308.80    80.49   0.0132   0   Good 
01107042 EN026_r02c05_Dep00Ch03_F20/0/02/2    61.34     0.68    2298.60    66.11   0.0070   0   Good 
01107042 EN045_r03c02_Dep00Ch04_F00/0/00/1  3619.38     0.40      30.00     0.00  -1.6667   5   Ped Led 
01107042 EN046_r03c03_Dep00Ch05_F00/0/01/0    57.46     0.64    2191.80    67.59   0.0080   0   Good 
01107042 EN047_r03c04_Dep00Ch06_F00/0/01/1    33.23     0.67    2226.00    77.77   0.0125   0   Good 
01107042 EN048_r03c05_Dep00Ch07_F00/0/02/0    95.65     0.62    2323.20    79.41   0.0127   0   Good 
01107042 EN067_r04c02_Dep00Ch08_F00/0/00/3    66.38     0.62    2037.60    74.18   0.0119   0   Good 
01107042 EN068_r04c03_Dep00Ch09_F00/0/01/2    85.98     0.65    2253.60    80.86   0.0137   0   Good 
01107042 EN069_r04c04_Dep00Ch10_F00/0/01/3    66.35     0.64    2715.00    89.55   0.0146   0   Good 
01107042 EN070_r04c05_Dep00Ch11_F00/0/02/2    52.14     0.67    2449.80    70.51   0.0084   0   Good 
01107042 EN089_r05c02_Dep00Ch12_F01/0/00/1    58.36     0.58    2640.00    85.06   0.0133   0   Good 
01107042 EN090_r05c03_Dep00Ch13_F01/0/01/0    50.94     0.67    1704.00    61.48   0.0067   0   Good 
01107042 EN091_r05c04_Dep00Ch14_F01/0/01/1    63.33     0.67    1856.40    60.79   0.0058   0   Good 
01107042 EN092_r05c05_Dep00Ch15_F01/0/02/0    60.13     0.62    2241.60    75.43   0.0113   0   Good 
01107042 EN111_r06c02_Dep00Ch16_F01/0/00/3    91.78     0.65    2433.60    80.42   0.0125   0   Good 
01107042 EN112_r06c03_Dep00Ch17_F01/0/01/2    36.65     0.64    1709.40    62.06   0.0071   0   Good 
01107042 EN113_r06c04_Dep00Ch18_F01/0/01/3    78.32     0.60    1725.00    66.48   0.0096   0   Good 
01107042 EN114_r06c05_Dep00Ch19_F01/0/02/2    48.59     0.67    2312.40    82.67   0.0141   0   Good 
01107042 EN133_r07c02_Dep00Ch20_F22/0/00/1    49.15     0.66    1792.20    58.58   0.0048   0   Good 
01107042 EN134_r07c03_Dep00Ch21_F22/0/01/0    66.38     0.60    1488.60    59.82   0.0066   0   Good 
01107042 EN135_r07c04_Dep00Ch22_F22/0/01/1    51.43     0.64    1792.80    61.65   0.0065   0   Good 
01107042 EN136_r07c05_Dep00Ch23_F22/0/02/0    49.27     0.62    1966.80    64.11   0.0072   0   Good 
01107042 EN155_r08c02_Dep00Ch24_F22/0/00/3    71.09     0.63    1507.80    57.96   0.0053   0   Good 
01107042 EN156_r08c03_Dep00Ch25_F22/0/01/2    53.82     0.59    1381.20    51.25   0.0009   0   Good 
01107042 EN157_r08c04_Dep00Ch26_F22/0/01/3    79.45     0.67    1482.00    59.40   0.0063   0   Good 
01107042 EN158_r08c05_Dep00Ch27_F22/0/02/2    53.55     0.65    2059.20    78.41   0.0138   0   Good 
01107042 EN177_r09c02_Dep00Ch28_F05/0/00/1    78.28     0.62    1361.40    56.73   0.0049   0   Good 
01107042 EN178_r09c03_Dep00Ch29_F05/0/01/0    66.53     0.69    1456.80    57.29   0.0050   0   Good 
01107042 EN179_r09c04_Dep00Ch30_F05/0/01/1    72.39     0.63    1716.60    59.94   0.0058   0   Good 
01107042 EN180_r09c05_Dep00Ch31_F05/0/02/0    61.03     0.65    1989.00    67.55   0.0088   0   Good 
01107042 EN027_r02c06_Dep01Ch00_F20/0/02/3    76.13     0.60    1859.40    60.30   0.0055   0   Good 
01107042 EN028_r02c07_Dep01Ch01_F20/0/03/2    62.82     0.66    1513.20    60.05   0.0066   0   Good 
01107042 EN029_r02c08_Dep01Ch02_F20/0/03/3    84.19     0.62    1758.60    63.89   0.0079   0   Good 
01107042 EN030_r02c09_Dep01Ch03_F20/0/04/2    44.88     0.62    2095.20    72.09   0.0105   0   Good 
01107042 EN049_r03c06_Dep01Ch04_F00/0/02/1    45.47     0.55    2421.00    80.67   0.0127   0   Good 
01107042 EN050_r03c07_Dep01Ch05_F00/0/03/0    86.15     0.67    1568.40    65.46   0.0099   0   Good 
01107042 EN051_r03c08_Dep01Ch06_F00/0/03/1    63.99     0.62    1610.40    55.13   0.0032   0   Good 
01107042 EN052_r03c09_Dep01Ch07_F00/0/04/0    71.85     0.64    1991.40    70.33   0.0102   0   Good 
01107042 EN071_r04c06_Dep01Ch08_F00/0/02/3   113.44     0.60    2028.00    71.25   0.0105   0   Good 
01107042 EN072_r04c07_Dep01Ch09_F00/0/03/2    87.43     0.59    1517.40    55.83   0.0038   0   Good 
01107042 EN073_r04c08_Dep01Ch10_F00/0/03/3    66.20     0.65    1624.80    55.76   0.0035   0   Good 
01107042 EN074_r04c09_Dep01Ch11_F00/0/04/2    65.28     0.63    1748.40    60.31   0.0059   0   Good 
01107042 EN093_r05c06_Dep01Ch12_F01/0/02/1    53.32     0.63    2107.20    75.31   0.0120   0   Good 
01107042 EN094_r05c07_Dep01Ch13_F01/0/03/0    71.55     0.59    1440.00    52.65   0.0018   0   Good 
01107042 EN095_r05c08_Dep01Ch14_F01/0/03/1    56.21     0.64    1467.00    61.41   0.0078   0   Good 
01107042 EN096_r05c09_Dep01Ch15_F01/0/04/0    65.19     0.64    1831.20    66.80   0.0092   0   Good 
01107042 EN115_r06c06_Dep01Ch16_F01/0/02/3    74.21     0.64    2077.20    73.13   0.0111   0   Good 
01107042 EN116_r06c07_Dep01Ch17_F01/0/03/2  1623.80     0.46       0.00     0.00   0.0000   5   Ped Led 
01107042 EN117_r06c08_Dep01Ch18_F01/0/03/3    66.80     0.61    1870.80    63.99   0.0075   0   Good 
