run      name                                   ped   pedrms        led   ledrms  rms/led   flags
01107038 EN023_r02c02_Dep00Ch00_F20/0/00/3    94.21     0.64     706.20    33.79  -0.0230   0   Good 
01107038 EN024_r02c03_Dep00Ch01_F20/0/01/2    41.61     0.67     619.80    31.81  -0.0293   0   Good 
01107038 EN025_r02c04_Dep00Ch02_F20/0/01/3    66.42     0.59     758.40    32.89  -0.0226   0   Good 
01107038 EN026_r02c05_Dep00Ch03_F20/0/02/2    61.42     0.65     725.40    36.09  -0.0192   0   Good 
01107038 EN045_r03c02_Dep00Ch04_F00/0/00/1  3619.51     0.38      30.00     0.00  -1.6667   5   Ped Led 
01107038 EN046_r03c03_Dep00Ch05_F00/0/01/0    57.89     0.65     683.40    28.01  -0.0322   0   Good 
01107038 EN047_r03c04_Dep00Ch06_F00/0/01/1    33.31     0.64     722.40    33.32  -0.0231   0   Good 
01107038 EN048_r03c05_Dep00Ch07_F00/0/02/0    95.70     0.65     744.00    34.47  -0.0209   0   Good 
01107038 EN067_r04c02_Dep00Ch08_F00/0/00/3    67.15     0.66     641.40    31.40  -0.0290   0   Good 
01107038 EN068_r04c03_Dep00Ch09_F00/0/01/2    86.18     0.61     695.40    31.86  -0.0261   0   Good 
01107038 EN069_r04c04_Dep00Ch10_F00/0/01/3    66.59     0.65     864.00    35.50  -0.0168   0   Good 
01107038 EN070_r04c05_Dep00Ch11_F00/0/02/2    52.49     0.65     795.60    35.11  -0.0187   0   Good 
01107038 EN089_r05c02_Dep00Ch12_F01/0/00/1    58.26     0.59     976.80    43.75  -0.0064   0   Good 
01107038 EN090_r05c03_Dep00Ch13_F01/0/01/0    51.01     0.69     532.20    30.19  -0.0372   0   Good 
01107038 EN091_r05c04_Dep00Ch14_F01/0/01/1    63.07     0.65     558.00    28.14  -0.0392   0   Good 
01107038 EN092_r05c05_Dep00Ch15_F01/0/02/0    60.15     0.62     708.00    30.00  -0.0282   0   Good 
01107038 EN111_r06c02_Dep00Ch16_F01/0/00/3    91.60     0.67     860.40    30.26  -0.0229   0   Good 
01107038 EN112_r06c03_Dep00Ch17_F01/0/01/2    37.64     0.66     505.80    21.22  -0.0569   0   Good 
01107038 EN113_r06c04_Dep00Ch18_F01/0/01/3    79.33     0.69     552.00    28.77  -0.0385   0   Good 
01107038 EN114_r06c05_Dep00Ch19_F01/0/02/2    48.64     0.67     718.20    33.36  -0.0232   0   Good 
01107038 EN133_r07c02_Dep00Ch20_F22/0/00/1    49.82     0.66     512.40    23.88  -0.0510   0   Good 
01107038 EN134_r07c03_Dep00Ch21_F22/0/01/0    66.46     0.65     480.00    31.18  -0.0392   0   Good 
01107038 EN135_r07c04_Dep00Ch22_F22/0/01/1    51.81     0.65     599.40    34.46  -0.0259   0   Good 
01107038 EN136_r07c05_Dep00Ch23_F22/0/02/0    49.46     0.64     627.00    27.33  -0.0362   0   Good 
01107038 EN155_r08c02_Dep00Ch24_F22/0/00/3    71.72     0.66     443.40    20.60  -0.0663   0   Good 
01107038 EN156_r08c03_Dep00Ch25_F22/0/01/2    53.94     0.60     436.20    27.96  -0.0505   0   Good 
01107038 EN157_r08c04_Dep00Ch26_F22/0/01/3    79.86     0.64     460.20    29.46  -0.0446   0   Good 
01107038 EN158_r08c05_Dep00Ch27_F22/0/02/2    51.93     0.63     668.40    32.33  -0.0264   0   Good 
01107038 EN177_r09c02_Dep00Ch28_F05/0/00/1    78.08     0.63     415.80    30.89  -0.0460   0   Good 
01107038 EN178_r09c03_Dep00Ch29_F05/0/01/0    65.21     0.67     420.00    31.18  -0.0448   0   Good 
01107038 EN179_r09c04_Dep00Ch30_F05/0/01/1    72.69     0.64     484.20    30.89  -0.0395   0   Good 
01107038 EN180_r09c05_Dep00Ch31_F05/0/02/0    60.52     0.65     622.20    27.70  -0.0358   0   Good 
01107038 EN027_r02c06_Dep01Ch00_F20/0/02/3    75.53     0.57     605.40    32.97  -0.0281   0   Good 
01107038 EN028_r02c07_Dep01Ch01_F20/0/03/2    62.56     0.62     461.40    29.02  -0.0455   0   Good 
01107038 EN029_r02c08_Dep01Ch02_F20/0/03/3    84.62     0.58     567.60    25.34  -0.0434   0   Good 
01107038 EN030_r02c09_Dep01Ch03_F20/0/04/2    44.28     0.59     724.80    31.95  -0.0249   0   Good 
01107038 EN049_r03c06_Dep01Ch04_F00/0/02/1    43.38     0.55     794.40    39.45  -0.0133   0   Good 
01107038 EN050_r03c07_Dep01Ch05_F00/0/03/0    85.83     0.61     462.60    27.23  -0.0492   0   Good 
01107038 EN051_r03c08_Dep01Ch06_F00/0/03/1    63.82     0.60     471.60    30.02  -0.0424   0   Good 
01107038 EN052_r03c09_Dep01Ch07_F00/0/04/0    70.99     0.60     672.00    35.50  -0.0216   0   Good 
01107038 EN071_r04c06_Dep01Ch08_F00/0/02/3   108.56     0.58     663.00    34.34  -0.0236   0   Good 
01107038 EN072_r04c07_Dep01Ch09_F00/0/03/2    87.47     0.57     426.00    30.59  -0.0456   0   Good 
01107038 EN073_r04c08_Dep01Ch10_F00/0/03/3    65.90     0.60     453.00    19.67  -0.0669   0   Good 
01107038 EN074_r04c09_Dep01Ch11_F00/0/04/2    64.62     0.62     556.20    30.42  -0.0352   0   Good 
01107038 EN093_r05c06_Dep01Ch12_F01/0/02/1    53.60     0.59     660.60    32.31  -0.0268   0   Good 
01107038 EN094_r05c07_Dep01Ch13_F01/0/03/0    71.36     0.57     487.80    31.36  -0.0382   0   Good 
01107038 EN095_r05c08_Dep01Ch14_F01/0/03/1    56.20     0.62     468.00    30.00  -0.0427   0   Good 
01107038 EN096_r05c09_Dep01Ch15_F01/0/04/0    64.41     0.62     576.60    26.69  -0.0404   0   Good 
01107038 EN115_r06c06_Dep01Ch16_F01/0/02/3    74.56     0.65     668.40    32.33  -0.0264   0   Good 
