run      name                                   ped   pedrms        led   ledrms  rms/led   flags
01107039 EN138_r07c07_Dep01Ch21_F22/0/03/0    66.86     0.68    1390.20    53.03   0.0022   0   Good 
01107039 EN139_r07c08_Dep01Ch22_F22/0/03/1    46.00     0.62    1798.20    57.21   0.0040   0   Good 
01107039 EN140_r07c09_Dep01Ch23_F22/0/04/0   110.97     0.65    1363.20    49.17  -0.0006   0   Good 
01107039 EN159_r08c06_Dep01Ch24_F22/0/02/3    91.59     0.60    1434.00    57.55   0.0053   0   Good 
01107039 EN160_r08c07_Dep01Ch25_F22/0/03/2    95.66     0.63    1417.80    50.67   0.0005   0   Good 
01107039 EN161_r08c08_Dep01Ch26_F22/0/03/3    97.86     0.63    1690.80    58.10   0.0048   0   Good 
01107039 EN162_r08c09_Dep01Ch27_F22/0/04/2    38.94     0.73    1160.40    45.47  -0.0039   0   Good 
01107039 EN181_r09c06_Dep01Ch28_F05/0/02/1    58.73     0.62    1386.00    50.20   0.0001   0   Good 
01107039 EN182_r09c07_Dep01Ch29_F05/0/03/0    79.94     0.65    1694.40    63.28   0.0078   0   Good 
01107039 EN183_r09c08_Dep01Ch30_F05/0/03/1    69.26     0.61    1606.80    53.04   0.0019   0   Good 
01107039 EN184_r09c09_Dep01Ch31_F05/0/04/0    28.60     0.61    1245.60    46.18  -0.0031   0   Good 
01107039 EN031_r02c10_Dep02Ch00_F20/0/04/3    82.39     0.57    1227.60    52.25   0.0018   0   Good 
01107039 EN032_r02c11_Dep02Ch01_F20/0/05/2  3040.50     0.00       0.00     0.00   0.0000   7   Ped Prms Led 
01107039 EN033_r02c12_Dep02Ch02_F20/0/05/3    95.13     0.59     745.80    38.19  -0.0158   0   Good 
01107039 EN034_r02c13_Dep02Ch03_F20/0/06/2    92.24     0.62     722.40    34.38  -0.0216   0   Good 
01107039 EN053_r03c10_Dep02Ch04_F00/0/04/1    66.50     0.63    1084.20    47.44  -0.0024   0   Good 
01107039 EN054_r03c11_Dep02Ch05_F00/0/05/0    57.14     0.59     891.00    36.37  -0.0153   0   Good 
01107039 EN055_r03c12_Dep02Ch06_F00/0/05/1    65.86     0.62     783.00    35.37  -0.0187   0   Good 
01107039 EN056_r03c13_Dep02Ch07_F00/0/06/0    83.81     0.60    1142.40    46.02  -0.0035   0   Good 
01107039 EN075_r04c10_Dep02Ch08_F00/0/04/3    74.27     0.62    1175.40    45.77  -0.0036   0   Good 
01107039 EN076_r04c11_Dep02Ch09_F00/0/05/2    40.40     0.57     829.20    39.69  -0.0124   0   Good 
01107039 EN077_r04c12_Dep02Ch10_F00/0/05/3    46.71     0.63    1002.60    45.93  -0.0041   0   Good 
01107039 EN078_r04c13_Dep02Ch11_F00/0/06/2    28.70     0.62    1061.40    49.25  -0.0007   0   Good 
01107039 EN097_r05c10_Dep02Ch12_F01/0/04/1    42.17     0.61     921.00    39.23  -0.0117   0   Good 
01107039 EN098_r05c11_Dep02Ch13_F01/0/05/0    57.85     0.64     930.00    43.27  -0.0072   0   Good 
01107039 EN099_r05c12_Dep02Ch14_F01/0/05/1    49.99     0.62     840.60    38.41  -0.0138   0   Good 
01107039 EN100_r05c13_Dep02Ch15_F01/0/06/0    75.34     0.62    1154.40    52.04   0.0018   0   Good 
01107039 EN119_r06c10_Dep02Ch16_F01/0/04/3    74.86     0.62    1188.60    45.45  -0.0038   0   Good 
01107039 EN120_r06c11_Dep02Ch17_F01/0/05/2    55.26     0.60    1015.80    39.12  -0.0107   0   Good 
01107039 EN121_r06c12_Dep02Ch18_F01/0/05/3    61.19     0.60     844.80    39.05  -0.0130   0   Good 
01107039 EN122_r06c13_Dep02Ch19_F01/0/06/2    43.94     0.67    1287.60    44.84  -0.0040   0   Good 
01107039 EN141_r07c10_Dep02Ch20_F22/0/04/1    32.82     0.61    1229.40    44.49  -0.0045   0   Good 
01107039 EN142_r07c11_Dep02Ch21_F22/0/05/0    67.64     0.59    1090.80    52.91   0.0027   0   Good 
01107039 EN143_r07c12_Dep02Ch22_F22/0/05/1    38.69     0.63     761.40    35.69  -0.0188   0   Good 
01107039 EN144_r07c13_Dep02Ch23_F22/0/06/0    66.78     0.62    1079.40    46.08  -0.0036   0   Good 
01107039 EN163_r08c10_Dep02Ch24_F22/0/04/3    48.96     0.62    1005.00    39.23  -0.0107   0   Good 
01107039 EN164_r08c11_Dep02Ch25_F22/0/05/2    49.28     0.62     985.80    39.12  -0.0110   0   Good 
01107039 EN165_r08c12_Dep02Ch26_F22/0/05/3    54.67     0.62     792.00    36.50  -0.0170   0   Good 
01107039 EN166_r08c13_Dep02Ch27_F22/0/06/2    40.76     0.60     998.40    43.28  -0.0067   0   Good 
01107039 EN185_r09c10_Dep02Ch28_F05/0/04/1    31.09     0.67    1209.00    45.99  -0.0033   0   Good 
01107039 EN186_r09c11_Dep02Ch29_F05/0/05/0    52.60     0.64     777.60    34.38  -0.0201   0   Good 
01107039 EN187_r09c12_Dep02Ch30_F05/0/05/1    79.47     0.60     597.60    33.32  -0.0279   0   Good 
01107039 EN188_r09c13_Dep02Ch31_F05/0/06/0    45.79     0.66    1185.00    45.20  -0.0041   0   Good 
01107039 EN035_r02c14_Dep03Ch00_F20/0/06/3    58.65     0.65     942.00    40.69  -0.0099   0   Good 
01107039 EN036_r02c15_Dep03Ch01_F20/0/07/2    43.35     0.67    1542.60    55.18   0.0034   0   Good 
01107039 EN037_r02c16_Dep03Ch02_F20/0/07/3    71.29     0.68    1479.60    54.81   0.0032   0   Good 
01107039 EN038_r02c17_Dep03Ch03_F20/0/08/2    35.65     0.68    1456.80    56.65   0.0046   0   Good 
01107039 EN057_r03c14_Dep03Ch04_F00/0/06/1    59.38     0.64    1387.80    56.70   0.0048   0   Good 
01107039 EN058_r03c15_Dep03Ch05_F00/0/07/0    73.99     0.70    1672.20    56.70   0.0040   0   Good 
01107039 EN059_r03c16_Dep03Ch06_F00/0/07/1    42.32     0.68    1631.40    56.73   0.0041   0   Good 
01107039 EN060_r03c17_Dep03Ch07_F00/0/08/0    69.68     0.67    1402.20    48.49  -0.0011   0   Good 
01107039 EN079_r04c14_Dep03Ch08_F00/0/06/3    81.24     0.66    1326.60    56.22   0.0047   0   Good 
01107039 EN080_r04c15_Dep03Ch09_F00/0/07/2    67.32     0.68    1396.20    48.64  -0.0010   0   Good 
01107039 EN081_r04c16_Dep03Ch10_F00/0/07/3    85.05     0.67    1336.80    49.90  -0.0001   0   Good 
01107039 EN082_r04c17_Dep03Ch11_F00/0/08/2    52.21     0.68    1281.60    48.76  -0.0010   0   Good 
01107039 EN101_r05c14_Dep03Ch12_F01/0/06/1    89.45     0.68    1352.40    50.86   0.0006   0   Good 
01107039 EN102_r05c15_Dep03Ch13_F01/0/07/0   104.48     0.69    1068.00    41.13  -0.0083   0   Good 
01107039 EN103_r05c16_Dep03Ch14_F01/0/07/1    54.54     0.70    1103.40    41.48  -0.0077   0   Good 
01107039 EN104_r05c17_Dep03Ch15_F01/0/08/0    62.10     0.72     849.00    38.30  -0.0138   0   Good 
01107039 EN123_r06c14_Dep03Ch16_F01/0/06/3   104.45     0.68    1131.60    45.31  -0.0041   0   Good 
01107039 EN124_r06c15_Dep03Ch17_F01/0/07/2    73.42     0.67    1192.80    49.32  -0.0006   0   Good 
01107039 EN125_r06c16_Dep03Ch18_F01/0/07/3    93.03     0.67     997.80    41.27  -0.0087   0   Good 
01107039 EN126_r06c17_Dep03Ch19_F01/0/08/2    54.01     0.72     957.60    44.43  -0.0058   0   Good 
01107039 EN145_r07c14_Dep03Ch20_F22/0/06/1    75.79     0.70    1210.20    48.04  -0.0016   0   Good 
01107039 EN146_r07c15_Dep03Ch21_F22/0/07/0    74.02     0.60    1231.80    44.46  -0.0045   0   Good 
01107039 EN147_r07c16_Dep03Ch22_F22/0/07/1    98.09     0.68    1144.20    48.93  -0.0009   0   Good 
01107039 EN148_r07c17_Dep03Ch23_F22/0/08/0    83.98     0.68    1120.80    44.40  -0.0050   0   Good 
01107039 EN167_r08c14_Dep03Ch24_F22/0/06/3    90.23     0.63    1002.00    44.90  -0.0051   0   Good 
01107039 EN168_r08c15_Dep03Ch25_F22/0/07/2    69.20     0.67    1138.80    39.33  -0.0094   0   Good 
01107039 EN169_r08c16_Dep03Ch26_F22/0/07/3    65.90     0.68    1213.20    44.96  -0.0042   0   Good 
01107039 EN170_r08c17_Dep03Ch27_F22/0/08/2    44.83     0.69     742.20    36.65  -0.0180   0   Good 
01107039 EN189_r09c14_Dep03Ch28_F05/0/06/1    71.46     0.70    1291.80    53.30   0.0026   0   Good 
01107039 EN190_r09c15_Dep03Ch29_F05/0/07/0    78.81     0.69    1064.40    48.09  -0.0018   0   Good 
01107039 EN191_r09c16_Dep03Ch30_F05/0/07/1    69.79     0.69    1208.40    51.28   0.0011   0   Good 
01107039 EN192_r09c17_Dep03Ch31_F05/0/08/0    59.92     0.72    1720.20    59.43   0.0055   0   Good 
01107039 EN039_r02c18_Dep04Ch00_F20/0/08/3    88.03     0.63    1715.40    62.41   0.0072   0   Good 
01107039 EN040_r02c19_Dep04Ch01_F20/0/09/2    74.94     0.60    1237.20    49.68  -0.0003   0   Good 
01107039 EN041_r02c20_Dep04Ch02_F20/0/09/3   111.54     0.58    1059.00    41.02  -0.0085   0   Good 
01107039 EN042_r02c21_Dep04Ch03_F20/0/10/2    60.75     0.59    1458.60    57.98   0.0055   0   Good 
01107039 EN061_r03c18_Dep04Ch04_F00/0/08/1    79.00     0.60    1360.80    51.18   0.0009   0   Good 
01107039 EN062_r03c19_Dep04Ch05_F00/0/09/0    61.81     0.60    1434.60    48.81  -0.0008   0   Good 
01107039 EN063_r03c20_Dep04Ch06_F00/0/09/1    85.88     0.60    1260.60    45.30  -0.0037   0   Good 
01107039 EN064_r03c21_Dep04Ch07_F00/0/10/0    44.89     0.65    1407.00    45.99  -0.0029   0   Good 
01107039 EN083_r04c18_Dep04Ch08_F00/0/08/3    71.93     0.58    1524.00    54.00   0.0026   0   Good 
01107039 EN084_r04c19_Dep04Ch09_F00/0/09/2    76.41     0.59    1590.00    50.91   0.0006   0   Good 
01107039 EN085_r04c20_Dep04Ch10_F00/0/09/3   125.99     0.61    1408.80    54.32   0.0031   0   Good 
01107039 EN086_r04c21_Dep04Ch11_F00/0/10/2    57.43     0.58    1474.20    55.81   0.0039   0   Good 
01107039 EN105_r05c18_Dep04Ch12_F01/0/08/1    65.70     0.64    1057.80    42.98  -0.0066   0   Good 
01107039 EN106_r05c19_Dep04Ch13_F01/0/09/0    53.45     0.63    1614.60    57.61   0.0047   0   Good 
01107039 EN107_r05c20_Dep04Ch14_F01/0/09/1    61.31     0.61    1596.00    49.84  -0.0001   0   Good 
01107039 EN108_r05c21_Dep04Ch15_F01/0/10/0    69.09     0.61    1318.20    42.81  -0.0055   0   Good 
01107039 EN127_r06c18_Dep04Ch16_F01/0/08/3    83.52     0.57    1026.60    44.82  -0.0051   0   Good 
01107039 EN128_r06c19_Dep04Ch17_F01/0/09/2    62.11     0.61    1476.00    49.84  -0.0001   0   Good 
01107039 EN129_r06c20_Dep04Ch18_F01/0/09/3   113.56     0.61    1380.60    50.55   0.0004   0   Good 
01107039 EN130_r06c21_Dep04Ch19_F01/0/10/2    66.76     0.63    1330.80    46.38  -0.0027   0   Good 
01107039 EN149_r07c18_Dep04Ch20_F22/0/08/1    56.64     0.58    1029.00    41.02  -0.0087   0   Good 
01107039 EN150_r07c19_Dep04Ch21_F22/0/09/0    68.22     0.58     945.00    39.23  -0.0114   0   Good 
01107039 EN151_r07c20_Dep04Ch22_F22/0/09/1    51.41     0.61    1204.20    40.03  -0.0083   0   Good 
01107039 EN152_r07c21_Dep04Ch23_F22/0/10/0    95.10     0.63    1148.40    46.88  -0.0027   0   Good 
01107039 EN171_r08c18_Dep04Ch24_F22/0/08/3    92.17     0.58     968.40    40.27  -0.0101   0   Good 
01107039 EN172_r08c19_Dep04Ch25_F22/0/09/2    45.20     0.62     994.20    41.79  -0.0083   0   Good 
01107039 EN173_r08c20_Dep04Ch26_F22/0/09/3    80.20     0.60     688.20    35.45  -0.0211   0   Good 
01107039 EN174_r08c21_Dep04Ch27_F22/0/10/2    45.71     0.65     924.00    37.47  -0.0136   0   Good 
01107039 EN193_r09c18_Dep04Ch28_F05/0/08/1    43.58     0.63    1750.80    56.85   0.0039   0   Good 
01107039 EN194_r09c19_Dep04Ch29_F05/0/09/0   100.47     0.62    1337.40    53.19   0.0024   0   Good 
01107039 EN195_r09c20_Dep04Ch30_F05/0/09/1    72.04     0.60    1091.40    39.52  -0.0096   0   Good 
01107039 EN196_r09c21_Dep04Ch31_F05/0/10/0    59.55     0.64     803.40    37.85  -0.0151   0   Good 
01107039 EN199_r10c02_Dep05Ch00_F05/0/00/3   104.69     0.66     934.20    41.79  -0.0088   0   Good 
01107039 EN200_r10c03_Dep05Ch01_F05/0/01/2    54.34     0.65    1036.20    41.44  -0.0083   0   Good 
01107039 EN201_r10c04_Dep05Ch02_F05/0/01/3    69.21     0.65    1049.40    44.49  -0.0052   0   Good 
01107039 EN202_r10c05_Dep05Ch03_F05/0/02/2    68.75     0.67    1396.80    47.68  -0.0017   0   Good 
01107039 EN221_r11c02_Dep05Ch04_F06/0/00/1    43.29     0.67     894.60    38.97  -0.0123   0   Good 
01107039 EN222_r11c03_Dep05Ch05_F06/0/01/0    39.55     0.62    1526.40    51.49   0.0010   0   Good 
01107039 EN223_r11c04_Dep05Ch06_F06/0/01/1    45.14     0.65    1287.60    49.42  -0.0005   0   Good 
01107039 EN224_r11c05_Dep05Ch07_F06/0/02/0    62.29     0.63    1327.20    54.85   0.0037   0   Good 
01107039 EN243_r12c02_Dep05Ch08_F06/0/00/3    78.81     0.63     925.80    37.23  -0.0138   0   Good 
01107039 EN244_r12c03_Dep05Ch09_F06/0/01/2    75.82     0.68    1081.20    42.83  -0.0066   0   Good 
01107039 EN245_r12c04_Dep05Ch10_F06/0/01/3    66.79     0.63    1341.00    55.24   0.0039   0   Good 
01107039 EN246_r12c05_Dep05Ch11_F06/0/02/2    55.80     0.67    1314.60    53.06   0.0023   0   Good 
01107039 EN265_r13c02_Dep05Ch12_F07/0/00/1    39.84     0.64     760.20    34.00  -0.0210   0   Good 
01107039 EN266_r13c03_Dep05Ch13_F07/0/01/0    79.31     0.63    1116.00    47.62  -0.0021   0   Good 
01107039 EN267_r13c04_Dep05Ch14_F07/0/01/1    53.91     0.68    1171.20    48.73  -0.0011   0   Good 
01107039 EN268_r13c05_Dep05Ch15_F07/0/02/0    73.81     0.68     912.00    41.13  -0.0097   0   Good 
01107039 EN287_r14c02_Dep05Ch16_F07/0/00/3    77.76     0.66     865.80    42.64  -0.0085   0   Good 
01107039 EN288_r14c03_Dep05Ch17_F07/0/01/2    57.56     0.65     732.60    34.25  -0.0215   0   Good 
01107039 EN289_r14c04_Dep05Ch18_F07/0/01/3    78.71     0.63    1221.60    48.76  -0.0010   0   Good 
01107039 EN290_r14c05_Dep05Ch19_F07/0/02/2    47.94     0.67     832.80    37.74  -0.0147   0   Good 
01107039 EN309_r15c02_Dep05Ch20_F08/0/00/1    63.21     0.61     815.40    37.08  -0.0158   0   Good 
01107039 EN310_r15c03_Dep05Ch21_F08/0/01/0    60.07     0.64     744.60    35.08  -0.0200   0   Good 
01107039 EN311_r15c04_Dep05Ch22_F08/0/01/1    55.50     0.65    1066.80    41.64  -0.0078   0   Good 
01107039 EN312_r15c05_Dep05Ch23_F08/0/02/0    68.23     0.66    1133.40    37.85  -0.0107   0   Good 
01107039 EN331_r16c02_Dep05Ch24_F08/0/00/3    76.99     0.61    1034.40    41.24  -0.0085   0   Good 
01107039 EN332_r16c03_Dep05Ch25_F08/0/01/2    55.43     0.64     788.40    34.49  -0.0197   0   Good 
01107039 EN333_r16c04_Dep05Ch26_F08/0/01/3    87.72     0.67    1356.60    42.34  -0.0056   0   Good 
01107039 EN334_r16c05_Dep05Ch27_F08/0/02/2     0.50     0.00    1062.00    42.43  -0.0071   3   Ped Prms 
01107039 EN353_r17c02_Dep05Ch28_F09/0/00/1    32.51     0.64    1675.80    59.55   0.0057   0   Good 
01107039 EN354_r17c03_Dep05Ch29_F09/0/01/0    64.09     0.65     990.60    41.13  -0.0090   0   Good 
01107039 EN355_r17c04_Dep05Ch30_F09/0/01/1    88.84     0.65    1062.60    41.82  -0.0077   0   Good 
01107039 EN356_r17c05_Dep05Ch31_F09/0/02/0    85.37     0.64    1351.20    48.73  -0.0009   0   Good 
01107039 EN203_r10c06_Dep06Ch00_F05/0/02/3    73.41     0.62    1176.00    49.84  -0.0001   0   Good 
01107039 EN204_r10c07_Dep06Ch01_F05/0/03/2    60.41     0.60    1391.40    56.73   0.0048   0   Good 
01107039 EN205_r10c08_Dep06Ch02_F05/0/03/3    50.72     0.66    1470.60    51.96   0.0013   0   Good 
01107039 EN206_r10c09_Dep06Ch03_F05/0/04/2    36.75     0.62    1209.60    45.87  -0.0034   0   Good 
01107039 EN225_r11c06_Dep06Ch04_F06/0/02/1    86.10     0.64    1178.40    48.01  -0.0017   0   Good 
01107039 EN226_r11c07_Dep06Ch05_F06/0/03/0    65.75     0.64     922.80    41.81  -0.0089   0   Good 
01107039 EN227_r11c08_Dep06Ch06_F06/0/03/1    54.19     0.65     654.00    34.99  -0.0230   0   Good 
